Membership No  Date Joined  Active  
    24624      2020-7-8     no    
    15387      2017-1-6     no    
    64578      2019-1-3     no    
    30552      2016-1-5     no    
    28507      2017-8-12    no    
    53940      2018-9-13    no    
    41344      2017-9-1     no    
    78383      2020-5-10    no    
    49262      2018-9-2     no    
    49149      2017-11-22   no    
    78046      2015-2-4     no    
    25867      2020-3-1     no    
    78010      2018-8-19    no    
    58980      2015-4-16    no    
