Membership No  Date Joined  Active  
    75092      2015-7-10    no    
    79839      2017-2-7     no    
    43670      2017-6-12    no    
    92005      2018-9-20    no    
    36515      2019-2-24    no    
    97392      2015-1-24    no    
    25606      2015-11-10   no    
    10125      2016-4-9     no    
    96673      2020-10-8    no    
    66759      2019-4-21    no    
    38447      2017-6-20    no    
    78636      2020-7-8     no    
    77396      2018-8-14    no    
    70864      2019-11-22   no    
    26805      2015-1-7     no    
    90750      2018-4-6     no    
