Membership No  Date Joined  Active  
    79494      2019-2-2     yes   
    54763      2016-11-13   yes   
    87930      2018-11-1    yes   
    67399      2016-2-1     no    
    83332      2020-12-24   yes   
    44319      2017-6-17    no    
    90115      2020-10-16   yes   
    42946      2017-1-1     yes   
    79497      2016-6-21    yes   
    49578      2016-10-19   yes   
    67166      2018-12-19   yes   
    24420      2019-1-6     no    
    88512      2019-11-14   no    
    16221      2019-4-14    no    
    78948      2020-1-12    no    
    92659      2019-10-4    yes   
    86242      2018-6-6     no    
    69249      2019-8-18    no    
    91622      2017-2-17    no    
    15313      2015-5-8     no    
