Membership No  Date Joined  Active  
    46570      2017-9-24    yes   
    25672      2015-1-10    no    
    88262      2017-5-23    yes   
    88245      2015-10-1    yes   
    87710      2015-9-20    no    
    32770      2019-8-8     yes   
    98831      2019-7-17    no    
    27864      2016-12-4    yes   
    96177      2017-6-15    no    
    39554      2018-10-25   yes   
    96754      2015-4-22    no    
    20555      2020-8-7     yes   
    31087      2015-6-1     no    
    54195      2018-4-5     no    
    35735      2016-12-12   no    
    84390      2017-3-4     yes   
    44101      2017-8-1     no    
    75816      2017-4-24    yes   
    22479      2019-7-13    no    
    97726      2019-3-17    no    
